Run BioSample AvgSpotLen  Bases Bytes Experiment  GEO_Accession LibraryLayout Sample_Name Replicate
SRR2107158  SAMN03890561  202 18.54G  11.85Gb SRX1100902  GSM1826774  PAIRED  HeLa_Control  rep1
SRR2107159  SAMN03890562  202 19.41G  12.59Gb SRX1100903  GSM1826775  PAIRED  HeLa_YTHDC1_KD  rep1
SRR2107160	SAMN03890563	202	17.70G	10.95Gb	SRX1100904	GSM1826776	PAIRED	HeLa_Control  rep2
SRR2107161	SAMN03890564	202	20.33G	12.54Gb	SRX1100905	GSM1826777	PAIRED	HeLa_SRSF1_KD rep1
SRR2107162	SAMN03890565	202	18.59G	11.61Gb	SRX1100906	GSM1826778	PAIRED	HeLa_SRSF3_KD rep1
SRR2107163	SAMN03890566	202	23.00G	14.09Gb	SRX1100907	GSM1826779	PAIRED	HeLa_SRSF7_KD rep1
SRR2107164	SAMN03890567	101	8.42G	5.15Gb	SRX1100908	GSM1826780	SINGLE	HeLa_SRSF9_KD rep1
SRR2107165	SAMN03890568	101	9.09G	5.54Gb	SRX1100909	GSM1826781	SINGLE	HeLa_SRSF10_KD  rep1
SRR2107166	SAMN03890569	202	19.94G	12.53Gb	SRX1100910	GSM1826782	PAIRED	HeLa_Control  rep3
SRR2107167	SAMN03890570	202	16.81G	10.09Gb	SRX1100911	GSM1826783	PAIRED  HeLa_YTHDC1_KD  rep2
SRR2107168	SAMN03890571	202	18.52G	11.14Gb	SRX1100912	GSM1826784	PAIRED	HeLa_SRSF3_KD rep2
SRR2107169	SAMN03890572	202	18.57G	11.42Gb	SRX1100913	GSM1826785	PAIRED	HeLa_SRSF10_KD  rep2
